x,y,z
0.0963139,0.0154838,-1.16217
-0.154341,0.0384928,-1.13219
-0.00743167,0.0492808,-1.15562
0.153396,0.0315359,-1.1531
-0.200161,0.0635988,-1.16166
-0.0912851,0.0508517,-1.13621
0.110049,0.0753728,-1.15871
0.199644,0.0653377,-1.13551
-0.0419337,0.0968659,-1.14368
-0.173045,0.118994,-1.15809
-0.0891582,0.146972,-1.13112
0.0662269,0.123516,-1.16046
0.167693,0.126447,-1.15241
0.0154034,0.153216,-1.14927
0.056034,0.202394,-1.1337
-0.0559715,-0.202437,-1.09931
0.0884228,-0.190525,-1.10728
-0.125651,-0.168364,-1.12073
0.0119544,-0.160617,-1.12189
-0.114096,-0.109929,-1.12701
-0.0652861,-0.0848684,-1.10278
0.0439673,-0.106126,-1.12024
0.181273,-0.106132,-1.10461
-0.117419,-0.0552079,-1.1029
0.0885709,-0.0700736,-1.10269
0.203673,-0.0513792,-1.11411
-0.166065,-0.0295847,-1.12674
-0.0543832,-0.0260459,-1.1064
0.0433031,-0.0355149,-1.1244
-0.00382722,0.00482782,-1.11549
0.0973937,-0.0107539,-1.10226
0.15532,-0.0160462,-1.11672
0.209922,0.00715926,-1.1254
0.0526408,0.0239232,-1.12192
0.117457,0.0455597,-1.10723
-0.0402237,0.0512697,-1.10477
-0.189962,0.0896089,-1.10862
-0.131371,0.0927678,-1.12094
0.0159482,0.0971491,-1.12805
0.0720553,0.0846032,-1.11091
-0.14664,0.150379,-1.11438
-0.032124,0.148017,-1.11245
0.114439,0.124696,-1.1249
0.105228,0.181767,-1.1063
-0.0383223,0.206527,-1.12392
0.0330835,-0.20741,-1.09091
-0.113361,-0.176903,-1.06267
-0.023647,-0.160463,-1.07123
0.0356395,-0.152257,-1.06747
0.144448,-0.152487,-1.09515
-0.160614,-0.127449,-1.09345
-0.0758698,-0.143365,-1.09516
0.0879538,-0.133169,-1.08976
-0.110797,-0.103186,-1.06749
-0.0101442,-0.106927,-1.09447
0.138603,-0.0745636,-1.0699
-0.204734,-0.0468355,-1.08428
-0.00202609,-0.0480202,-1.08721
-0.155062,0.00744403,-1.0809
-0.0982365,-0.00969014,-1.06903
0.0384386,-0.00641705,-1.07223
0.209571,-0.0135716,-1.06795
-0.20653,0.0381711,-1.08265
-0.0874972,0.0492235,-1.06782
0.0729527,0.0423226,-1.06722
0.20513,0.0451501,-1.07931
-0.146499,0.0677448,-1.06863
0.0157058,0.0510635,-1.08271
-0.0758212,0.101571,-1.09446
-0.0179581,0.100508,-1.07877
0.122192,0.0948914,-1.07344
0.184175,0.10094,-1.08987
-0.170853,0.122157,-1.06204
0.0236086,0.143443,-1.09074
0.0807115,0.138237,-1.07308
0.148604,0.148478,-1.08179
-0.086283,0.191541,-1.09123
0.0128113,0.209629,-1.09278
0.065225,0.199642,-1.06544
-0.0631121,-0.200303,-1.03979
-0.00408747,-0.210045,-1.04393
0.0747172,-0.196267,-1.04921
0.127493,-0.16688,-1.03948
-0.15434,-0.142442,-1.03576
0.169499,-0.124058,-1.04867
-0.187737,-0.0941598,-1.05159
-0.0512439,-0.111284,-1.05085
0.00534212,-0.0852566,-1.04075
0.0635793,-0.0925442,-1.05301
-0.0588738,-0.0517994,-1.05241
0.197357,-0.0718087,-1.0581
-0.151716,-0.0463023,-1.0545
-0.00249091,-0.0241962,-1.03221
0.0886906,-0.0382013,-1.04969
-0.209948,-0.0052205,-1.04141
-0.0420902,0.0107051,-1.06066
0.149842,-0.0157219,-1.05705
-0.127908,0.0253549,-1.03055
0.149628,0.044257,-1.05666
-0.196367,0.0745352,-1.03604
-0.0145383,0.054991,-1.03106
0.193305,0.0821612,-1.0337
-0.117711,0.110985,-1.03654
-0.0604537,0.0930798,-1.03717
0.041261,0.0972041,-1.05412
-0.0549254,0.149406,-1.057
-0.129452,0.165383,-1.05896
0.0368997,0.153436,-1.03321
0.114564,0.176055,-1.04085
-0.0373861,0.206682,-1.06012
0.0159021,0.209506,-1.03288
0.0388267,-0.206441,-1.00226
0.00274081,-0.156633,-1.01749
-0.0908186,-0.14792,-1.01533
0.0658621,-0.140501,-1.01708
-0.0871341,-0.0885121,-1.00854
0.115998,-0.108964,-1.02625
0.189175,-0.0912102,-1.00194
-0.202783,-0.0546812,-1.00829
-0.0330175,-0.0642706,-0.999731
0.0781046,-0.071994,-0.998076
0.133775,-0.0532275,-1.01313
-0.108727,-0.0329889,-1.01485
0.207117,-0.0348397,-1.01192
-0.162224,-0.0116597,-0.998234
-0.0547562,-0.00864198,-1.00534
0.0525335,-0.00637359,-1.01398
0.10755,0.0139406,-1.02654
0.159352,-0.000666401,-0.999816
-0.207496,0.0324539,-0.994823
0.208507,0.0252886,-1.02228
-0.0954945,0.0673092,-0.995948
0.0427202,0.052796,-1.01336
0.0981688,0.0736122,-1.02277
0.150871,0.0586437,-0.998473
-0.00632947,0.113622,-1.02148
-0.171847,0.120779,-1.00209
-0.076768,0.138515,-1.00165
0.0879478,0.131462,-1.01093
0.145341,0.124754,-1.02686
-0.130789,0.164362,-0.999088
-0.0856038,0.191799,-1.0277
-0.0342571,0.207244,-1.00024
0.0681306,0.198664,-1.00556
-0.0769084,-0.195473,-0.981629
-0.018733,-0.209189,-0.9858
0.0949402,-0.187354,-0.993492
-0.138814,-0.157587,-0.97985
0.0441408,-0.16001,-0.964744
-0.0408421,-0.123348,-0.993074
0.0912077,-0.122881,-0.965658
0.155453,-0.141259,-0.993013
-0.180047,-0.108234,-0.99381
0.0166647,-0.109799,-0.982682
0.1411,-0.0896615,-0.966112
-0.135585,-0.0715046,-0.977587
-0.209354,-0.0174725,-0.961698
0.0237401,-0.0502858,-0.985023
0.0990314,-0.0196485,-0.977574
-0.107873,0.0122923,-0.975613
-0.00200125,0.0157227,-0.987501
0.0929665,0.0427468,-0.971617
-0.155305,0.0637942,-0.993658
-0.0390726,0.0823652,-0.982222
0.0152975,0.0671542,-0.961986
0.203128,0.0532911,-0.969488
-0.119566,0.114215,-0.967357
0.117538,0.0994465,-0.969845
0.180283,0.10791,-0.981203
0.0365559,0.124117,-0.980935
-0.0230577,0.15236,-0.978897
0.117057,0.174402,-0.980885
-0.0825789,0.193126,-0.967809
0.0180401,0.197347,-0.972577
-0.0447224,-0.205279,-0.931895
0.0197256,-0.209097,-0.939809
0.07717,-0.195407,-0.92944
-0.108482,-0.179862,-0.933161
-0.0142964,-0.157646,-0.951741
0.127047,-0.167256,-0.947098
-0.167923,-0.126122,-0.937886
-0.0908817,-0.128443,-0.958578
0.167115,-0.127304,-0.927347
-0.0497162,-0.0864764,-0.946605
0.0458043,-0.112853,-0.927786
-0.196461,-0.0742246,-0.947242
0.00612874,-0.0680508,-0.930539
0.0654457,-0.0544894,-0.942105
0.195369,-0.0770453,-0.943882
-0.154242,-0.0281198,-0.94066
-0.0875177,-0.0413616,-0.958201
-0.0297299,-0.0260225,-0.953685
0.150731,-0.0327463,-0.949932
0.209104,-0.0195425,-0.953984
0.0479374,0.00647159,-0.955643
-0.154185,0.0318075,-0.94295
-0.0528648,0.0290151,-0.958694
-0.00279978,0.0203368,-0.926841
0.150026,0.0271284,-0.947506
-0.197089,0.0727459,-0.951653
-0.0914007,0.0689826,-0.936147
0.159818,0.0837479,-0.930392
-0.169762,0.12368,-0.93592
-0.0631791,0.123015,-0.945345
0.0920082,0.141822,-0.935925
0.152401,0.144514,-0.942832
-0.128045,0.166548,-0.939296
0.0151359,0.152606,-0.932715
-0.0313654,0.207646,-0.940133
0.0716818,0.197401,-0.945722
-0.0622703,-0.155236,-0.903989
0.000245357,-0.177079,-0.893007
-0.0113851,-0.119621,-0.905504
0.0997725,-0.11426,-0.901745
-0.111982,-0.0840896,-0.923938
0.144754,-0.0751877,-0.908065
-0.20725,-0.0339961,-0.904119
-0.0647316,-0.0386665,-0.902782
0.206112,-0.0402256,-0.897744
-0.107519,0.000895134,-0.916792
0.0470578,-0.0144076,-0.899456
0.098736,0.00697828,-0.923827
-0.208625,0.02416,-0.918537
-0.0556418,0.0251185,-0.898936
0.0490793,0.0449856,-0.909704
0.209155,0.0190454,-0.9081
-0.136365,0.0659898,-0.896605
-0.030333,0.0735805,-0.923572
0.102297,0.0708174,-0.919424
0.0476452,0.102659,-0.926104
-0.110025,0.118624,-0.908205
-0.0268494,0.127664,-0.897873
-0.0718239,0.172476,-0.912551
0.126335,0.167784,-0.89414
0.0224887,0.208841,-0.913324
-0.0489272,-0.204259,-0.872081
0.0413103,-0.205966,-0.860247
-0.142711,-0.154115,-0.891264
0.0588824,-0.155963,-0.888229
0.135714,-0.160306,-0.888242
-0.179546,-0.108961,-0.877099
-0.120163,-0.103726,-0.867877
-0.064638,-0.0971287,-0.889529
0.182128,-0.104724,-0.871772
-0.15177,-0.0569707,-0.888159
0.0376655,-0.071497,-0.879653
0.0932591,-0.0511458,-0.889057
-0.00802835,-0.0326222,-0.8843
0.142908,-0.0176341,-0.891637
-0.158464,0.0110817,-0.886875
-0.207894,0.0302461,-0.858903
-0.103881,0.0280048,-0.863469
0.0129933,0.0196226,-0.86375
0.0906834,0.0302195,-0.869147
0.145753,0.0421666,-0.889651
-0.194802,0.0785423,-0.89198
-0.0697704,0.0798481,-0.878818
0.00933054,0.0775288,-0.878785
0.197005,0.0728871,-0.884675
0.0691062,0.0873907,-0.872306
-0.165334,0.129539,-0.876423
0.0291735,0.134078,-0.877469
0.168497,0.125524,-0.888313
-0.122064,0.170914,-0.879863
-0.022288,0.185105,-0.881222
0.0743409,0.196421,-0.885829
-0.00797556,-0.187229,-0.831727
0.0970693,-0.186235,-0.850434
-0.102929,-0.183065,-0.856959
-0.146461,-0.150585,-0.831566
-0.044627,-0.137437,-0.849534
0.0156336,-0.135953,-0.851878
0.154455,-0.14239,-0.834246
-0.0159492,-0.0852404,-0.85663
0.0704241,-0.111688,-0.849516
-0.201338,-0.0598662,-0.850412
-0.0702732,-0.083774,-0.83137
0.091919,-0.0593969,-0.82968
0.148383,-0.0602901,-0.849826
-0.154984,-0.0238342,-0.838287
-0.0978901,-0.0350592,-0.852913
0.205142,-0.0450534,-0.837896
-0.0530245,0.00370305,-0.843007
0.0585652,-0.0103874,-0.838839
0.122423,-0.00810888,-0.835671
0.183069,0.00794079,-0.855256
-0.154481,0.0475152,-0.837958
0.142902,0.0479894,-0.830132
-0.0229914,0.0547168,-0.831053
0.0367341,0.065994,-0.826677
0.202082,0.0572813,-0.82704
-0.185731,0.0980428,-0.829664
-0.118657,0.10135,-0.851508
-0.0185912,0.113831,-0.840101
0.125539,0.099168,-0.856018
0.177639,0.112028,-0.826866
-0.0708787,0.136961,-0.858218
0.0850968,0.143413,-0.858039
0.139369,0.157141,-0.836605
-0.0738528,0.196612,-0.852807
0.0253969,0.208499,-0.853417
-0.0637796,-0.200126,-0.81411
0.0393801,-0.206331,-0.800318
0.119274,-0.172863,-0.796363
-0.0732903,-0.132864,-0.797052
-0.0124883,-0.137217,-0.79892
0.0638425,-0.151854,-0.805517
-0.18201,-0.10492,-0.815989
-0.122775,-0.100809,-0.808066
0.0260502,-0.090501,-0.814141
0.110773,-0.113512,-0.805163
0.186676,-0.0962114,-0.812598
-0.064937,-0.0342167,-0.798097
-0.0110965,-0.0349378,-0.824462
-0.209701,-0.0115295,-0.815953
-0.103094,0.011338,-0.805893
0.0136157,0.0156257,-0.803936
0.210017,0.00272165,-0.801954
-0.204427,0.0483456,-0.801829
0.0868961,0.0377553,-0.809807
-0.132022,0.0837529,-0.795846
-0.081387,0.0648909,-0.821897
0.0972657,0.0964125,-0.803283
-0.159072,0.137172,-0.792857
-0.0892934,0.125727,-0.798601
-0.119354,0.172882,-0.820073
-0.0345689,0.152273,-0.79697
0.0192056,0.157157,-0.823047
-0.0247231,0.208552,-0.82052
0.037938,0.206617,-0.794821
0.0895308,0.189991,-0.820522
-0.0155602,-0.209454,-0.776531
-0.113169,-0.176976,-0.789292
0.160777,-0.13518,-0.775102
-0.182302,-0.0542398,-0.783965
-0.0841956,-0.0817281,-0.766373
-0.0275164,-0.0800983,-0.78859
0.0700535,-0.0823277,-0.77422
0.137578,-0.0617862,-0.790833
0.203668,-0.0513017,-0.776687
-0.123739,-0.0433558,-0.791015
0.0313399,-0.0373222,-0.782174
0.0877636,-0.0176148,-0.786935
-0.160541,0.00967187,-0.788884
0.152372,0.00822815,-0.786337
-0.0434866,0.0205231,-0.786252
-0.00119213,0.0548356,-0.761125
0.05655,0.0691657,-0.768718
0.138314,0.0649606,-0.772879
0.203639,0.0513546,-0.767447
-0.188358,0.0928831,-0.765024
-0.0420184,0.0914191,-0.7853
0.015519,0.107735,-0.789274
0.180848,0.106825,-0.767194
0.0663193,0.145369,-0.787859
-0.116302,0.164352,-0.76081
0.0141737,0.16164,-0.763145
0.143888,0.153022,-0.776978
-0.0741101,0.196555,-0.788714
-0.022624,0.208847,-0.760565
-0.0698001,-0.198088,-0.753686
0.0793259,-0.194502,-0.757223
0.0164215,-0.164097,-0.753805
0.127922,-0.166561,-0.735981
-0.121898,-0.128636,-0.754995
-0.0420814,-0.145227,-0.747365
0.0691467,-0.136177,-0.747893
-0.179676,-0.108728,-0.756218
-0.0370225,-0.0867444,-0.729752
0.0170248,-0.10418,-0.756432
0.119058,-0.102982,-0.746548
0.183484,-0.102289,-0.730461
-0.201048,-0.0607252,-0.727342
0.0420774,-0.0583516,-0.726944
-0.15173,-0.0254559,-0.741144
-0.0902294,-0.0263218,-0.744272
-0.0221264,-0.0285773,-0.756558
0.100144,-0.0465887,-0.73597
0.158031,-0.0324046,-0.742692
-0.209845,-0.00886534,-0.756072
0.0434495,0.0130842,-0.751989
0.210053,-0.0026322,-0.742219
-0.205045,0.0457626,-0.731928
-0.0906601,0.0332154,-0.751471
-0.0375203,0.0210349,-0.726595
0.107048,0.0215155,-0.74581
-0.147606,0.0514869,-0.747867
-0.0572448,0.077624,-0.728937
-0.109404,0.10681,-0.74537
0.018783,0.101448,-0.729123
-0.160681,0.135258,-0.732844
-0.0321717,0.130717,-0.741077
0.0569905,0.147325,-0.723741
0.103824,0.118997,-0.748173
-0.0671939,0.181658,-0.731061
0.0299453,0.207868,-0.728317
0.081399,0.193622,-0.755622
-0.0217604,-0.193475,-0.718093
0.0366671,-0.206831,-0.716949
0.090054,-0.189718,-0.695636
-0.113827,-0.176497,-0.719199
-0.15842,-0.137936,-0.708385
-0.086173,-0.114211,-0.709078
0.0108218,-0.0988805,-0.695774
0.0686876,-0.114144,-0.692167
-0.136854,-0.0805021,-0.722564
0.141505,-0.0716886,-0.700623
0.203757,-0.0508863,-0.707219
-0.0466966,-0.034364,-0.702186
-0.209721,-0.0115431,-0.694122
-0.0876115,0.00899044,-0.695881
0.00971326,-0.0113061,-0.70879
0.0688261,-0.00533562,-0.70089
0.127765,-0.0137384,-0.694089
-0.157491,0.0173754,-0.699591
0.0101782,0.0483343,-0.702667
0.161872,0.0268271,-0.722118
-0.169385,0.0838031,-0.702253
-0.109722,0.0642195,-0.703186
0.0690981,0.0535556,-0.712215
0.125401,0.0739029,-0.715082
0.196129,0.0751739,-0.712989
-0.0767965,0.130629,-0.701093
0.16692,0.1275,-0.71265
-0.121836,0.171065,-0.701499
0.00295159,0.154821,-0.698839
0.124778,0.168953,-0.722421
-0.023223,0.20875,-0.700598
0.0786199,0.194795,-0.694255
-0.0705707,-0.197814,-0.683564
-0.0168346,-0.209329,-0.659521
0.0429968,-0.205607,-0.657344
-0.131384,-0.163869,-0.661595
0.0262056,-0.156115,-0.686711
-0.0321505,-0.142404,-0.688296
0.154881,-0.141829,-0.688488
-0.187667,-0.0943127,-0.67953
-0.129671,-0.104258,-0.667946
-0.0496458,-0.0855778,-0.671123
0.117206,-0.105953,-0.657969
0.187393,-0.0949637,-0.669966
-0.099895,-0.0544619,-0.683145
0.0878552,-0.0573914,-0.678012
-0.158191,-0.0403614,-0.683485
-0.00309359,-0.0485409,-0.663557
-0.0276114,0.0120715,-0.668149
0.0315931,0.0143073,-0.658186
-0.20514,0.0450208,-0.672025
0.154279,0.028877,-0.661374
0.209175,0.0186571,-0.686137
